task_id,type,example_id,arxiv_id,kind,categories,prompt,answer
2201.00913#7:paper-subarea:1,paper-subarea,2201.00913#7,2201.00913,theorem,descriptive-logic; proof-complexity,"Suppose Γ is a finite set of relations on a set A . Then CSP( Γ ) can be solved in polynomial time if there exists a WNU operation Ω on A preserving Γ ; CSP( Γ ) is NP-complete otherwise.

[MASK]",descriptive-logic; proof-complexity
2201.00913#20:bound-cloze:1,bound-cloze,2201.00913#20,2201.00913,lemma,descriptive-logic; proof-complexity,"Suppose A' =(A,0,-,+) is a finite abelian group, the relation R ⊆ A^4 is defined by R = {(x,y,H,u):(x+y=z+u)} , R is preserved by an idempotent WNU m -ary operation Ω . Then [MASK]=tx_1+...+tx_m for some t ∈ N .","Ω(x_1,...x_m)"
2201.00913#23:paper-subarea:2,paper-subarea,2201.00913#23,2201.00913,theorem,descriptive-logic; proof-complexity,"Suppose Θ is a cycle-consistent irreducible CSP instance, and B is a nontrivial binary absorbing subuniverse of D_i . Then Θ has a solution if and only if Θ has a solution with x_i ∈ B .

[MASK]",descriptive-logic; proof-complexity
2201.00913#24:paper-subarea:3,paper-subarea,2201.00913#24,2201.00913,theorem,descriptive-logic; proof-complexity,"Suppose Θ is a cycle-consistent irreducible CSP instance, and B is a nontrivial center of D_i . Then Θ has a solution if and only if Θ has a solution with x_i ∈ B .

[MASK]",descriptive-logic; proof-complexity
2201.00913#25:paper-subarea:4,paper-subarea,2201.00913#25,2201.00913,theorem,descriptive-logic; proof-complexity,"Suppose Θ is a cycle-consistent irreducible CSP instance, there does not exist a nontrivial binary absorbing subuniverse or a nontrivial center on D_j for every j , (D_i,Ω)/σ_i is a polynomially complete algebra, and E is an equivalence class of σ_i . Then Θ has a solution if and only if Θ has a solution with x_i ∈ E .

[MASK]",descriptive-logic; proof-complexity
2201.00913#28:bound-cloze:2,bound-cloze,2201.00913#28,2201.00913,definition,descriptive-logic; proof-complexity,"An instance Θ = ( X , ddot A ) with V_ X =n , V_ ddot A <le n,l rangle is 1 -consistent if it satisfies the following Σ^ 1,b _0 -definable relation & 1C( X , ddot A ) ⟺ ∀ i<n, ∀ a ∈ D_i, ∀ j<n, &(E_ X (i,j) → ∃ b ∈ D_j, E^ ij _ A (a,b))wedge (E_ X (j,i) → ∃ b ∈ D_j, E^ ji _ A (b,a)). The instance Θ = ( X , ddot A ) is cycle-consistent if it is 1 -consistent and any undirected cycle C _t that can be homomorphically mapped into X with H(0)=x_k can be homomorphically mapped into ddot A for any a ∈ D_k . Cycle-consistency is expressed by the following Π^ 1,b _2 -formula & CC( X , ddot A ) ⟺ 1C( X , ddot A )wedge ∀ k<n, ∀ a ∈ D_k, ∀ t<n, ∀ V_ C _t =t, & ∀ E_ C _t ≤ 4[MASK], ∀ H<le t,n rangle , [ CYCLE(V_ C _t ,E_ C _t )wedge HOM( C _t, X ,H)wedge H(0,k) & → ∃ H'< le t,le t,lrangle rangle , ddot HOM ( C _t,ddot A ,H') wedge & wedge ∀ i<n,j<t (H(j)=i → ∃ b ∈ D_i, H'(j)=le i,brangle )wedge H'(0)=le k,arangle ].",t^2
2201.00913#31:bound-cloze:3,bound-cloze,2201.00913#31,2201.00913,definition,descriptive-logic; proof-complexity,"We say that an instance Θ = ( X , ddot A ) with V_ X =n , V_ ddot A <le n,l rangle is irreducible if any its subinstance is fragmented, or linked, or its solution set is subdirect. To express it we use the Π^ 1,b _2 -formula & IRD( X , ddot A ) ⟺ ∀ X' = (V_ X' , E_ X' ), ∀ V_ X' =n, ∀ E_ X' <4[MASK], & (SINST( X ', X ) → FRGM( X' , ddot A )vee LNKD( X' , ddot A )vee SSS( X' , ddot A ) ).",n^2
2203.14379#2:paper-subarea:1,paper-subarea,2203.14379#2,2203.14379,theorem,circuit-complexity; meta-complexity; query-complexity,"theorem theorefuteruniformsep Let C ∈ { P xspace , ZPP , BPP xspace } and let D ∈ { NP xspace , Σ_2 P xspace , dotsc ,Σ_k P xspace , dotsc , PP xspace , PSPACE xspace , EXP xspace , NEXP xspace , EXP xspace ^ NP xspace } . Then D ⊄ C implies that for every paddable D -complete language L , there is a C -constructive separation of L ∉ C .protect protect protect protect protect Throughout this paper when we say a language L is D -complete, we mean it is D -complete under polynomial-time many-one reductions. A language L is paddable if there is a deterministic polynomial-time algorithm that receives (x,1^n) as input, where string x has length at most n-1 , and then outputs a string y ∈ {0,1}^n such that L(x)=L(y) . \ Furthermore, ⊕ P xspace ⊄ C implies that for every paddable ⊕ P xspace -complete language L , there is a BPP xspace -constructive separation of L ∉ C .

[MASK]",circuit-complexity; meta-complexity; query-complexity
2203.14379#3:bound-cloze:1,bound-cloze,2203.14379#3,2203.14379,theorem,circuit-complexity; meta-complexity; query-complexity,"theorem theoPNP Let f(n) ≥ ω(1) . For every language L ∈ NP xspace , a P xspace ^ NP xspace -constructive separation of L from uniform randomized streaming algorithms with [MASK] time and O( log n)^ f(n) spaceprotect protect protect protect protect That is, for every such randomized streaming algorithm A , there is a P xspace ^ NP xspace refuter B such that B(1^n) prints an input x of length n such that A decides whether x ∈ L incorrectly, for infinitely many n . \ implies EXP xspace ^ NP xspace ≠ BPP xspace .",O(n · ( log n)^ f(n) )
2203.14379#3:paper-subarea:2,paper-subarea,2203.14379#3,2203.14379,theorem,circuit-complexity; meta-complexity; query-complexity,"theorem theoPNP Let f(n) ≥ ω(1) . For every language L ∈ NP xspace , a P xspace ^ NP xspace -constructive separation of L from uniform randomized streaming algorithms with O(n · ( log n)^ f(n) ) time and O( log n)^ f(n) spaceprotect protect protect protect protect That is, for every such randomized streaming algorithm A , there is a P xspace ^ NP xspace refuter B such that B(1^n) prints an input x of length n such that A decides whether x ∈ L incorrectly, for infinitely many n . \ implies EXP xspace ^ NP xspace ≠ BPP xspace .

[MASK]",circuit-complexity; meta-complexity; query-complexity
2203.14379#4:bound-cloze:2,bound-cloze,2203.14379#4,2203.14379,theorem,circuit-complexity; meta-complexity; query-complexity,"theorem theouniformAC Let f(n) ≥ ω(1) . A polylogtime-uniform- AC ^0 -constructive separation of DISJ from randomized streaming algorithms with [MASK] time and O( log n)^ f(n) spaceprotect protect protect protect protect That is, for every such randomized streaming algorithm A , there is a polylogtime-uniform AC ^0 circuit family {C_n} such that A fails to solve DISJ on 2n -bit inputs correctly on the output C_n(1^n) for infinitely many n . \ implies P xspace ≠ NP xspace .",O(n · ( log n)^ f(n) )
2203.14379#4:paper-subarea:3,paper-subarea,2203.14379#4,2203.14379,theorem,circuit-complexity; meta-complexity; query-complexity,"theorem theouniformAC Let f(n) ≥ ω(1) . A polylogtime-uniform- AC ^0 -constructive separation of DISJ from randomized streaming algorithms with O(n · ( log n)^ f(n) ) time and O( log n)^ f(n) spaceprotect protect protect protect protect That is, for every such randomized streaming algorithm A , there is a polylogtime-uniform AC ^0 circuit family {C_n} such that A fails to solve DISJ on 2n -bit inputs correctly on the output C_n(1^n) for infinitely many n . \ implies P xspace ≠ NP xspace .

[MASK]",circuit-complexity; meta-complexity; query-complexity
2203.14379#5:paper-subarea:4,paper-subarea,2203.14379#5,2203.14379,theorem,circuit-complexity; meta-complexity; query-complexity,"theorem theogeneral For every language L computable by a nondeterministic n^ 1+o(1) -time RAM, a P xspace ^ NP xspace -constructive separation of L from nondeterministic O(n^ 1.1 ) -time one-tape Turing machines implies E ^ NP xspace ⊄ SIZE [2^ δ n ] for some constant δ >0 .

[MASK]",circuit-complexity; meta-complexity; query-complexity
2203.14379#8:bound-cloze:3,bound-cloze,2203.14379#8,2203.14379,theorem,circuit-complexity; meta-complexity; query-complexity,"proposition propnorefuter For any t(n) ≥ [MASK] , there is no P xspace -refuter for R_ K^t against the constant zero function.",n^ ω(1)
2203.14379#9:bound-cloze:4,bound-cloze,2203.14379#9,2203.14379,theorem,circuit-complexity; meta-complexity; query-complexity,"theorem theononp The following hold: If NE ≠ E , then there is a language in NP xspace \ P xspace that does not have P xspace refuters against the constant one function.protect protect protect protect protect Here, E = TIME [2^ [MASK] ] , the class of languages decidable in (deterministic) 2^ O(n) time, and NE is the corresponding nondeterministic class. If NE ≠ RE xspace , then there is a language in NP xspace \ P xspace that does not have BPP xspace refuters against the constant one function.protect protect protect protect protect Here, RE xspace = sf RTIME [2^ O(n) ] , the class of languages decidable in randomized 2^ O(n) time with one-sided error.",O(n)
2203.14379#10:problem-name:1,problem-name,2203.14379#10,2203.14379,definition,circuit-complexity; meta-complexity; query-complexity,"Let scolon N → N satisfy s(n) ≥ n-1 for all n . Problem: [MASK] xspace [s(n)] . Input: A function fcolon {0,1}^n → {0,1} , presented as a truth table of N= 2^n bits. Decide: Does f have a (fan-in two) Boolean circuit C of size at most s(n) ?",MCSP
2206.05086#1:bound-cloze:1,bound-cloze,2206.05086#1,2206.05086,theorem,descriptive-logic; proof-complexity,"Let cal K be a class of graphs such that sc CPT distinguishes all graphs in cal K . Then the degree- 3 extended polynomial calculus over bbQ (denoted sc EPC _3 ) distinguishes all graphs in cal K with refutations of polynomial size. Moreover, the sc EPC _3 -refutation uses only extension axioms frac X_f - f for polynomials of the form f = X · Y or f = frac 1 n · ( Σ _ i=1 ^ [MASK] X_i ) . That is, only monomials and certain ``averaged sums'' are replaced with new variables.",n^2
2206.05086#1:paper-subarea:1,paper-subarea,2206.05086#1,2206.05086,theorem,descriptive-logic; proof-complexity,"Let cal K be a class of graphs such that sc CPT distinguishes all graphs in cal K . Then the degree- 3 extended polynomial calculus over bbQ (denoted sc EPC _3 ) distinguishes all graphs in cal K with refutations of polynomial size. Moreover, the sc EPC _3 -refutation uses only extension axioms frac X_f - f for polynomials of the form f = X · Y or f = frac 1 n · ( Σ _ i=1 ^ n^2 X_i ) . That is, only monomials and certain ``averaged sums'' are replaced with new variables.

[MASK]",descriptive-logic; proof-complexity
2206.05086#25:bound-cloze:2,bound-cloze,2206.05086#25,2206.05086,theorem,descriptive-logic; proof-complexity,"lemma restateAxiomDerivationLemma Let G,H be two connected binary τ -structures, which are potentially vertex-coloured in such a way that for every vertex-colour Q , there are as many vertices with colour Q in G as in H . Let op ∈ { tt addPair , tt contract } and let R ∈ σ , where σ is the vocabulary of the coarsest coherent configuration C:= C(G uplus H) . Assume that R(C) ⊆ V(G)^2 ∪ V(H)^2 . Let G' uplus H' be the result of executing op (R) on G uplus H . Then the polynomial axiom system P_ iso (G',H') is derivable from P_ iso (G,H) in sc EPC _3 , up to a renaming of variables. The number of extension variables used in the derivation is at most |V(G')|^2 , and the derivation has polynomial size and uses only coefficients with polynomial bit-complexity. Moreover, for every extension axiom frac X_f -f used in the derivation, f is of the form f = X · Y or f = frac 1 n · ( Σ _ i=1 ^ [MASK] X_i ) .",n^2
2206.05086#25:paper-subarea:2,paper-subarea,2206.05086#25,2206.05086,theorem,descriptive-logic; proof-complexity,"lemma restateAxiomDerivationLemma Let G,H be two connected binary τ -structures, which are potentially vertex-coloured in such a way that for every vertex-colour Q , there are as many vertices with colour Q in G as in H . Let op ∈ { tt addPair , tt contract } and let R ∈ σ , where σ is the vocabulary of the coarsest coherent configuration C:= C(G uplus H) . Assume that R(C) ⊆ V(G)^2 ∪ V(H)^2 . Let G' uplus H' be the result of executing op (R) on G uplus H . Then the polynomial axiom system P_ iso (G',H') is derivable from P_ iso (G,H) in sc EPC _3 , up to a renaming of variables. The number of extension variables used in the derivation is at most |V(G')|^2 , and the derivation has polynomial size and uses only coefficients with polynomial bit-complexity. Moreover, for every extension axiom frac X_f -f used in the derivation, f is of the form f = X · Y or f = frac 1 n · ( Σ _ i=1 ^ n^2 X_i ) .

[MASK]",descriptive-logic; proof-complexity
2206.05086#26:bound-cloze:3,bound-cloze,2206.05086#26,2206.05086,lemma,descriptive-logic; proof-complexity,"Let G, H be two connected binary τ -structures. Let p(n) be a polynomial and M be a normalised sc DWL -algorithm which produces on input G uplus H a structure G' uplus H' with D(G') ≠ D(H') , such that the length of the run and the size of the structure in the cloud is bounded by p(|G| + |H|) at any time. Then the system P_ iso (G,H) has an sc EPC _3 -refutation that uses at most p(|G| + |H|)^3 many extension variables, has polynomial size and polynomial bit-complexity. Moreover, for every extension axiom frac X_f -f used in the derivation, f is of the form f = X · Y or f = frac 1 n · ( Σ _ i=1 ^ [MASK] X_i ) .",n^2
2206.05243#1:bound-cloze:1,bound-cloze,2206.05243#1,2206.05243,definition,circuit-complexity; interactive-proofs; quantum-complexity; space-complexity,"A promise problem A=(A_ up yes ,A_ up no ) is in SQCMASPACE (p,q,r) for polynomially-bounded functions p,q,r , if there exist thresholds α(n),β(n) satisfying α(n)-β(n) ≥ [MASK] , and a polynomial-space uniform family of quantum circuits {Q_n } such that, for any input x ∈ Σ^n : If xinA _ up yes , there exists a streaming proof y ∈ {0,1 } ^ 2^ p(n) such that Q_n accepts (x,y) with probability at least α . If xinA _ up no , then for all streaming proofs y ∈ {0,1 } ^ 2^ p(n) , Q_n accepts (x, y ) with probability at most β .",2^ -r(n)
2206.05243#5:paper-subarea:1,paper-subarea,2206.05243#5,2206.05243,theorem,circuit-complexity; interactive-proofs; quantum-complexity; space-complexity,"theorem theoremqcmaspace SQCMASPACE with 2^ poly (n) proof bits, poly (n) ancilla qubits, completeness 1 , and soundness 1/2 , equals NEXP, i.e. SQCMASPACE ( poly , poly ,1)=NEXP .

[MASK]",circuit-complexity; interactive-proofs; quantum-complexity; space-complexity
2206.05243#6:bound-cloze:2,bound-cloze,2206.05243#6,2206.05243,theorem,circuit-complexity; interactive-proofs; quantum-complexity; space-complexity,"SQMASPACE with 2^ poly (n) proof bits, poly (n) ancilla qubits, completeness 2/3 , and soundness 1/3 , equals QMAEXP , i.e. SQMASPACE ( poly , poly ,1)=QMAEXP . With poly (n) proof bits, [MASK] , ancilla bits, it equals QMA , i.e. SQMASPACE ( log , log ,0) = QMA .",O( log (n))
2206.05243#6:paper-subarea:2,paper-subarea,2206.05243#6,2206.05243,theorem,circuit-complexity; interactive-proofs; quantum-complexity; space-complexity,"SQMASPACE with 2^ poly (n) proof bits, poly (n) ancilla qubits, completeness 2/3 , and soundness 1/3 , equals QMAEXP , i.e. SQMASPACE ( poly , poly ,1)=QMAEXP . With poly (n) proof bits, O( log (n)) , ancilla bits, it equals QMA , i.e. SQMASPACE ( log , log ,0) = QMA .

[MASK]",circuit-complexity; interactive-proofs; quantum-complexity; space-complexity
2206.05243#7:bound-cloze:3,bound-cloze,2206.05243#7,2206.05243,theorem,circuit-complexity; interactive-proofs; quantum-complexity; space-complexity,"lemma theoremPathInterpolation Set d:=[MASK] , and let f:[0,1] → S^ d-1 be a K -Lipschitz continuous path. For every ε > 0 , there exists a sequence of M ∈ O((frac n^2d^2 ε )^ 2n ) 2 -local unitaries U=U_M ... U_1 which `` ε -approximately simulates'' the path f as follows. Define ket ψ_t =U_t ... U_1ket ψ_0 for t ∈ {0, ... , M } and ket ψ_0 :=f(0) . Then, for all t , enorm ket ψ_t -f(t/M) ≤ ε.",2^n
2206.05243#7:paper-subarea:3,paper-subarea,2206.05243#7,2206.05243,theorem,circuit-complexity; interactive-proofs; quantum-complexity; space-complexity,"lemma theoremPathInterpolation Set d:=2^n , and let f:[0,1] → S^ d-1 be a K -Lipschitz continuous path. For every ε > 0 , there exists a sequence of M ∈ O((frac n^2d^2 ε )^ 2n ) 2 -local unitaries U=U_M ... U_1 which `` ε -approximately simulates'' the path f as follows. Define ket ψ_t =U_t ... U_1ket ψ_0 for t ∈ {0, ... , M } and ket ψ_0 :=f(0) . Then, for all t , enorm ket ψ_t -f(t/M) ≤ ε.

[MASK]",circuit-complexity; interactive-proofs; quantum-complexity; space-complexity
2206.05243#8:bound-cloze:4,bound-cloze,2206.05243#8,2206.05243,theorem,circuit-complexity; interactive-proofs; quantum-complexity; space-complexity,"theorem theoremtraversal Let H ∈ Herm (C^d ), d=[MASK] with 0preccurlyeq H preccurlyeq I , ket ψ ,ket φ ∈ C^d with bra ψ Hket ψ ≤ η and bra φ Hket φ ≤ η . For any Δ ≥ 2^ - poly (n) , there exists a sequence of 2 -local unitary gates U=U_m ... U_1 with m ≤ 2^ poly (n) such that enorm Uket ψ - ket φ ≤ Δ , and for all i ∈ [m] , bra ψ_i Hket ψ_i ≤ η+Δ , where ket ψ_i := U_ i ... U_1ket ψ .",2^n
2206.05243#8:paper-subarea:4,paper-subarea,2206.05243#8,2206.05243,theorem,circuit-complexity; interactive-proofs; quantum-complexity; space-complexity,"theorem theoremtraversal Let H ∈ Herm (C^d ), d=2^n with 0preccurlyeq H preccurlyeq I , ket ψ ,ket φ ∈ C^d with bra ψ Hket ψ ≤ η and bra φ Hket φ ≤ η . For any Δ ≥ 2^ - poly (n) , there exists a sequence of 2 -local unitary gates U=U_m ... U_1 with m ≤ 2^ poly (n) such that enorm Uket ψ - ket φ ≤ Δ , and for all i ∈ [m] , bra ψ_i Hket ψ_i ≤ η+Δ , where ket ψ_i := U_ i ... U_1ket ψ .

[MASK]",circuit-complexity; interactive-proofs; quantum-complexity; space-complexity
2206.05243#30:problem-name:1,problem-name,2206.05243#30,2206.05243,definition,circuit-complexity; interactive-proofs; quantum-complexity; space-complexity,"hfill Input: A k -local Hamiltonian H ∈ [MASK] (B^ ⊗ n ) , where B:=C^2 . η_1,η_2,η_3,η_4,Δ ∈ R and integer m ≥ 0 , such that η_2-η_1 ≥ Δ and η_4-η_3 ≥ Δ . Polynomial size quantum circuits U_φ,U_ψ generating enquote starting and enquote target states ket φ and ket ψ (on input ket 0^n ), respectively, satisfying bra ψ Hket ψ ≤ η_1 and bra φ Hket φ ≤ η_1 . Output: There exists a sequence of l -local unitaries U_1, ... ,U_m such that: (Intermediate states remain in low energy space) For all i ∈ [m] and intermediate states ket ψ_i := U_i ... U_1ket ψ , it holds that bra ψ_i Hket ψ_i ≤ η_1 , and (Final state is close to target state) enorm ket ψ_m -ket φ ≤ η_3 . For all l -local sequences of unitaries U_1, ... ,U_m , either: (Intermediate state obtains high energy) There exists i ∈ [m] and an intermediate state ket ψ_i such that bra ψ_i Hket ψ_i ≥ η_2 , or (Final state far from target state) enorm ket ψ_m -ket φ ≥ η_4 .",Herm
2207.01024#10:bound-cloze:1,bound-cloze,2207.01024#10,2207.01024,lemma,descriptive-logic; parameterized,Constructing S _ k can be done in time O (f(t + q (φ)) · [MASK] ) for some computable function f and a constant c .,n^ c
2207.01024#15:relation-cloze:1,relation-cloze,2207.01024#15,2207.01024,proposition,descriptive-logic; parameterized,"[ ] Unless E = NE , Recall that E = DTIME (2^ O (n) ) and NE = NTIME (2^ O (n) ) . The same hardness result with a stronger assumption EXP [MASK] NEXP was shown earlier by Courcelle, Makowsky, and Rotics . MSO _ 2 sc Model Checking on n -vertex uncolored complete graphs cannot be solved in time O (n^ f(|φ|) ) for any function f .",≠
2207.01024#16:bound-cloze:2,bound-cloze,2207.01024#16,2207.01024,theorem,descriptive-logic; parameterized,"Unless E = NE , MSO _ 2 - R on n -vertex uncolored graphs of neighborhood diversity 2 cannot be solved in time O ([MASK] ) for any function f .",n^ f(|φ|)
2207.01024#16:paper-subarea:1,paper-subarea,2207.01024#16,2207.01024,theorem,descriptive-logic; parameterized,"Unless E = NE , MSO _ 2 - R on n -vertex uncolored graphs of neighborhood diversity 2 cannot be solved in time O (n^ f(|φ|) ) for any function f .

[MASK]",descriptive-logic; parameterized
2207.01024#17:bound-cloze:3,bound-cloze,2207.01024#17,2207.01024,corollary,descriptive-logic; parameterized,"Unless E = NE , MSO _ 2 - R on n -vertex uncolored graphs of twin cover number 3 cannot be solved in time O ([MASK] ) for any function f .",n^ f(|φ|)
2207.01024#17:paper-subarea:2,paper-subarea,2207.01024#17,2207.01024,corollary,descriptive-logic; parameterized,"Unless E = NE , MSO _ 2 - R on n -vertex uncolored graphs of twin cover number 3 cannot be solved in time O (n^ f(|φ|) ) for any function f .

[MASK]",descriptive-logic; parameterized
2207.01024#24:paper-subarea:3,paper-subarea,2207.01024#24,2207.01024,theorem,descriptive-logic; parameterized,"For some fixed φ , MSO _ 1 - R is PSPACE-complete on uncolored forests of depth 3 .

[MASK]",descriptive-logic; parameterized
2207.07426#1:bound-cloze:1,bound-cloze,2207.07426#1,2207.07426,theorem,fine-grained,"theorem thmhard Unless the Exponential Time Hypothesis fails, there is no algorithm solving sc Global Label Min-Cut xspace in time (np)^ [MASK] .",o( log n/ ( log log n)^2)
2207.07426#1:paper-subarea:1,paper-subarea,2207.07426#1,2207.07426,theorem,fine-grained,"theorem thmhard Unless the Exponential Time Hypothesis fails, there is no algorithm solving sc Global Label Min-Cut xspace in time (np)^ o( log n/ ( log log n)^2) .

[MASK]",fine-grained
2207.07426#2:bound-cloze:2,bound-cloze,2207.07426#2,2207.07426,theorem,fine-grained,"theorem thmwhard The sc Global Label Min-Cut xspace problem, parameterized by a := p-k , the number of uncut colors, is W [1]-hard. Furthermore, unless the Exponential Time Hypothesis fails, there is no computable function f and an algorithm for the problem with running time bound f(a) · (np)^ [MASK] .",o(a/ log a)
2207.07426#2:paper-subarea:2,paper-subarea,2207.07426#2,2207.07426,theorem,fine-grained,"theorem thmwhard The sc Global Label Min-Cut xspace problem, parameterized by a := p-k , the number of uncut colors, is W [1]-hard. Furthermore, unless the Exponential Time Hypothesis fails, there is no computable function f and an algorithm for the problem with running time bound f(a) · (np)^ o(a/ log a) .

[MASK]",fine-grained
2207.07426#3:paper-subarea:3,paper-subarea,2207.07426#3,2207.07426,theorem,fine-grained,"There is a reduction that given a sc Partitioned Subgraph Isomorphism xspace instance (H, K) , where H is connected, and with mathopen mathclose bgroup originalleft | V(H) aftergroup egroup originalright | = h , mathopen mathclose bgroup originalleft | E(H) aftergroup egroup originalright | = a , and n being the number of vertices in each part of the partition of V(K) , constructs an equivalent sc Dual Global Label Min-Cut xspace instance (W, G_1, ... , G_p, a) with mathopen mathclose bgroup originalleft | W aftergroup egroup originalright | = O (h(4a)^a n) , and p = mathopen mathclose bgroup originalleft | E(K) aftergroup egroup originalright | in time mathopen mathclose bgroup originalleft | W aftergroup egroup originalright |^ O (1) .

[MASK]",fine-grained
2207.07426#11:bound-cloze:3,bound-cloze,2207.07426#11,2207.07426,theorem,fine-grained,"sc Partitioned Subgraph Isomorphism xspace where the host graph has n vertices and the pattern graph h edges parameterized by h is W[1] xspace -hard, and cannot be solved in time f(h)n^ [MASK] , for any computable function f , unless the ETH xspace fails.",o(h/ log h)
2207.07426#11:paper-subarea:4,paper-subarea,2207.07426#11,2207.07426,theorem,fine-grained,"sc Partitioned Subgraph Isomorphism xspace where the host graph has n vertices and the pattern graph h edges parameterized by h is W[1] xspace -hard, and cannot be solved in time f(h)n^ o(h/ log h) , for any computable function f , unless the ETH xspace fails.

[MASK]",fine-grained
2207.10250#1:bound-cloze:1,bound-cloze,2207.10250#1,2207.10250,theorem,quantum-complexity,"For any δ ∈ (0,1-Ω(1/ poly (n))) , constant k ≥ 2 and some integer 0 ≤ c ≤ O ([MASK]) , there exist a,b ∈ [-1,1] with b-a ∈ Ω(1/ poly (n)) such that k- GLHLE is up BQP -hard. Moreover, it is still up BQP -hard if the 2-local Hamiltonian is restricted to any of the following families of Hamiltonians: non-2SLD Hamiltonian on a 2D square lattice antiferromagnetic Heisenberg model antiferromagnetic XY model on a 2D triangular lattice.",poly(n)
2207.10250#1:paper-subarea:1,paper-subarea,2207.10250#1,2207.10250,theorem,quantum-complexity,"For any δ ∈ (0,1-Ω(1/ poly (n))) , constant k ≥ 2 and some integer 0 ≤ c ≤ O (poly(n)) , there exist a,b ∈ [-1,1] with b-a ∈ Ω(1/ poly (n)) such that k- GLHLE is up BQP -hard. Moreover, it is still up BQP -hard if the 2-local Hamiltonian is restricted to any of the following families of Hamiltonians: non-2SLD Hamiltonian on a 2D square lattice antiferromagnetic Heisenberg model antiferromagnetic XY model on a 2D triangular lattice.

[MASK]",quantum-complexity
2207.10250#2:bound-cloze:2,bound-cloze,2207.10250#2,2207.10250,definition,quantum-complexity,"We say that a normalized state ket u ∈ C ^ [MASK] is a semi-classical subset state if there is a subset S ⊆ {0,1}^n with |S|= poly (n) such that \[ ket u = frac 1 sqrt |S| Σ _ x ∈ S ket x . \]",2^n
2207.10250#6:bound-cloze:3,bound-cloze,2207.10250#6,2207.10250,definition,quantum-complexity,"[Guided Local Hamiltonian Low Energy] GLHLE (k,c,a,b,δ) A k -local Hamiltonian H on n qubits such that |H| ≤ 1 and the description of a semi-classical encoded state ket u ∈ C ^ [MASK] , a constant c ∈ N _ ≥ 0 . |Π_ c ket u |^2 ≥ δ , where Π_ c denotes the projection on the subspace spanned by the c th eigenstates, ordered in order of non-decreasing energy, of H , and either λ_c(H) ≤ a or λ_c(H) ≥ b holds. Decide whether λ_c(H) ≤ a or λ_c(H) ≥ b .",2^n
2207.10250#12:bound-cloze:4,bound-cloze,2207.10250#12,2207.10250,proposition,quantum-complexity,"For any δ ∈ (0,1-Ω(1/ poly (n))) , there exist a,b ∈ [0,1] with b-a ∈ Ω(1/ poly (n)) and 0 ≤ c ≤ O ([MASK]) such that the problem GLHLE (2,c,a,b,δ) with b-a ∈ Ω(1/ poly (n)) is up BQP -hard for Hamiltonians that are restricted to either {XX+YY+ZZ}^+ -Hamiltonian, or {XX+YY}^+ -Hamiltonian on a 2D triangular lattice.",poly(n)
2209.12877#13:paper-subarea:1,paper-subarea,2209.12877#13,2209.12877,theorem,query-complexity,"For every n ≥ 1 , rm Rank ( sc Tribes _ n,m ) = rm Rank ( sc Tribes ^d_ n,m ) = n for m ≥ 2 . rm Rank ( sc And _n ∘ sc Parity _m) = n(m-1) +1 for m ≥ 1 .

[MASK]",query-complexity
2209.12877#20:paper-subarea:2,paper-subarea,2209.12877#20,2209.12877,theorem,query-complexity,"For every Boolean function f: {0,1}^ n longrightarrow {0,1} , rm Depth (f) ≤ rm Rank (f)(1 + log (rm spar (f))). The inequality is tight as witnessed by sc Parity function.

[MASK]",query-complexity
2209.12877#23:paper-subarea:3,paper-subarea,2209.12877#23,2209.12877,theorem,query-complexity,"lemma lemMinCNotLB min {rm C _0(f),rm C _1(f)} is not a lower bound on rm Rank (f) ; for the symmetric function f= sc Maj _n vee sc Parity _n , when n>4 , rm Rank (f) < min {rm C _0(f),rm C _1(f)} .

[MASK]",query-complexity
2209.12877#31:paper-subarea:4,paper-subarea,2209.12877#31,2209.12877,theorem,query-complexity,"theorem thmComposeRankUb For non-constant boolean functions g_1, ... , g_n with rm Rank (g_i)=r_i , and for n -variate non-constant booolean function f , rm Rank (f ∘ (g_1,g_2,...,g_n)) ≤ rm Depth _w(f,[r_1,r_2,...,r_n] ).

[MASK]",query-complexity
2209.12877#40:bound-cloze:1,bound-cloze,2209.12877#40,2209.12877,theorem,query-complexity,"For every boolean functions f , \[ rm Rank (f) ≤ rm Depth _ bar wedge (f) ≤ log rm DTSize (f) ≤ rm Rank (f) log (frac e n rm Rank (f) ).\] Consequently, if rm Rank (f)=[MASK] , then so is rm Depth _ bar wedge (f) .",Θ(n)
2209.12877#41:bound-cloze:2,bound-cloze,2209.12877#41,2209.12877,lemma,query-complexity,"For every n,m ≥ 1 , every decision tree for sc Tribes ^d_ n,m has at least [MASK] 1 -leaves and n 0-leaves.",m^n
2210.12289#11:paper-subarea:1,paper-subarea,2210.12289#11,2210.12289,theorem,descriptive-logic; quantum-complexity; structural,"There is an increasing sequence {n_k}_ k ∈ ω such that for all k , there are no depth k parity circuits on n > n_k many inputs which are of size less than 2^ frac 1 10 ^ frac k k-1 n^ frac 1 k-1 .

[MASK]",descriptive-logic; quantum-complexity; structural
2210.12289#16:paper-subarea:2,paper-subarea,2210.12289#16,2210.12289,theorem,descriptive-logic; quantum-complexity; structural,"bm NP , bm EXP , bm co - bm NP , bm BQP , bm PH , bm L , bm NL , bm PSPACE are all Σ ^0_2 -complete.

[MASK]",descriptive-logic; quantum-complexity; structural
