paper_id,arxiv_id,title,year,venue_short,categories,status,n_examples,source_chars,classes_used,problems_used,hypotheses_used
doi:10.1145/3570637,1909.10303,On the Need for Large Quantum Depth,2019,,quantum-complexity; structural,ok,54,121108,AH:2; BPP:35; BPP^QNC:1; BQP:12; L:7; PH:1; QNC:18,Parity:2; Pointer Chasing:4; Quantum Circuit Sampling:1; Simon/Bernstein-Vazirani:16,PH does not collapse:1; Random Oracle / Relativization:2
doi:10.4230/lipics.ccc.2020.12,1910.01251,"Search problems in algebraic complexity, GCT, and hardness of generator for invariant rings",2019,,algebraic-complexity; proof-complexity,ok,23,78815,BPP:3; NP:13; SL:5; VNP:18; VP:12,3SAT:4; Determinant:10; Graph Isomorphism:2; Matching:1; Matrix Multiplication:1; PIT:9; Permanent:11; Pigeonhole:1,Permanent vs Determinant:2
arxiv:1911.00403,1911.00403,Sherali-Adams and the binary encoding of combinatorial principles,2019,,proof-complexity,ok,21,68430,P:19,Matching:3; Pigeonhole:43,
arxiv:1911.01973,1911.01973,On the Quantum Complexity of Closest Pair and Related Problems,2019,,fine-grained; quantum-complexity; query-complexity,ok,64,148141,AM:3; E:3; P:15,Collision/Element Distinctness:11; Edit Distance:1; Orthogonal Vectors:4; Parity:1; SAT:31; Search/Grover:15,ETH:6; SETH:16
doi:10.1145/3538391,1911.08297,Beyond Natural Proofs: Hardness Magnification and Locality,2022,,circuit-complexity; meta-complexity,ok,61,192144,AC0:54; ACC0:3; E:4; EXP:14; IP:1; NC:1; NC1:26; NE:1; NEXP:1; NP:57; NP^coNP:2; NTIME:2; P:11; QP:11; TC0:8,Clique:1; Error-Correcting Code:5; Independent Set:1; Kolmogorov Complexity:1; MCSP:162; MKTP:32; Majority:14; Parity:36; Vertex Cover:3,ETH:3; P != NP:4
arxiv:1912.04177,1912.04177,Robust and Sample Optimal Algorithms for PSD Low-Rank Approximation,2019,,query-complexity,ok,54,266384,AM:4; E:13; P:110; PCP:56; RP:1,Matrix Multiplication:5,
arxiv:2002.07054,2002.07054,When symmetries are not enough: a hierarchy of hard Constraint Satisfaction Problems,2020,,descriptive-logic,ok,56,164527,BPP:7; E:422; NP:12; P:20; P^E:6; SC:2; coNP:52; coNP^L:2,CSP:160; Clique:2,
arxiv:2002.08533,2002.08533,Algorithms and Lower Bounds for de Morgan Formulas of Low-Communication Leaf Gates,2020,,circuit-complexity; communication-complexity; derandomization; meta-complexity,ok,56,136531,AC0:7; ACC0:1; FORMULA:127; IP:5; L:21; NP:1; P:1; PSPACE:1,Counting Solutions:1; Inner Product:7; Kolmogorov Complexity:1; LCS:1; MCSP:7; MKTP:9; Majority:1; Matrix Multiplication:3; Parity:19; SAT:32; Search/Grover:1,
arxiv:2002.09451,2002.09451,On the Descriptive Complexity of Temporal Constraint Satisfaction Problems,2020,,descriptive-logic,ok,106,284204,E:33; FP:86; NC:2; NP:8,CSP:276; Parity:1; SAT:1,P != NP:1
arxiv:2003.13715,2003.13715,Quantum Godwin's Law,2020,,structural,ok,0,33461,MA:1; XP:1,Majority:1,
arxiv:2004.13149,2004.13149,H-coloring Dichotomy in Proof Complexity,2020,,counting-complexity; proof-complexity,ok,38,63987,AC0:2; NP:14; coNP:3,CSP:35; Parity:1; Pigeonhole:13,
arxiv:2006.09705,2006.09705,Proof Complexity of Substructural Logics,2020,,proof-complexity,ok,41,127913,L:146; MA:1; NP:4; P:122; PSPACE:5; RL:6; coNP:2,,
arxiv:2006.10957,2006.10957,When Is Amplification Necessary for Composition in Randomized Query Complexity?,2020,,query-complexity,ok,14,61478,AWPP:8; BPP:125; PP:1; RP:9,Majority:30; Parity:3,
arxiv:2007.03859,2007.03859,Fixed-Treewidth-Efficient Algorithms for Edge-Deletion to Intersection Graph Classes,2020,,descriptive-logic; parameterized,ok,11,83896,FPT:20; NP:7; XP:1,Clique:1; Independent Set:1,ETH:1
arxiv:2007.14835,2007.14835,"Reflection principles, propositional proof systems, and theories",2020,,proof-complexity,ok,13,78028,NP:15; P:4; coNP:1,Factoring/Discrete Log:1; Pigeonhole:4; SAT:15,P != NP:4
arxiv:2008.07003,2008.07003,$k$-Forrelation Optimally Separates Quantum and Classical Query Complexity,2020,,query-complexity,ok,32,163103,BQP:1; PH:1,Forrelation:42; Inner Product:1; Majority:1; Search/Grover:1; Simon/Bernstein-Vazirani:2,
doi:10.1145/3568163,2011.01929,The Complexity of Gradient Descent: CLS = PPAD $\cap$ PLS,2020,,total-search,ok,47,263479,CLS:36; EOPL:8; FNP:7; FP:9; NC:2; NP:26; PLS:57; PPA:2; PPAD:6; PSPACE:2; TFNP:32; UEOPL:7,Learning Parity with Noise:1; Matrix Multiplication:2; Nash Equilibrium:3; Parity:2; TSP:1,Cryptographic Assumptions:1; P != NP:3
doi:10.4230/lipics.ccc.2022.30,2011.04295,Interactive Oracle Proofs of Proximity to Algebraic Geometry Codes,2020,,interactive-proofs,ok,43,145995,FP:26; P:31; PCP:10,Error-Correcting Code:5,
arxiv:2012.01920,2012.01920,Quantum learning algorithms imply circuit lower bounds,2020,,circuit-complexity; derandomization; quantum-complexity,ok,55,284820,AC0:1; ACC0:7; BPE:5; BPP:6; BQP:9; DTIME:2; E:11; E^NP:1; L:9; MA:3; NE:6; NP:3; NTIME:1; P:7; PSPACE:20; QIP:1; SIZE:1; TC0:1,Factoring/Discrete Log:1; Kolmogorov Complexity:1; Majority:5; Nisan-Wigderson:6; Parity:2; SAT:1; Search/Grover:1,
doi:10.4086/toc.2023.v019a007,2012.02210,"Shrinkage under Random Projections, and Cubic Formula Lower Bounds for $\mathsf{AC}^0$",2020,,circuit-complexity; query-complexity,ok,64,146309,AC0:30; AM:3; NC1:1; P:6,Kolmogorov Complexity:1; Majority:10; Parity:24; Search/Grover:1,
arxiv:2012.14095,2012.14095,Learning algorithms from circuit lower bounds,2020,,circuit-complexity; derandomization; meta-complexity; proof-complexity,ok,28,109781,AC0:4; BPP:1; E:1; NC1:2; NE:1; NP:16; P:6; QP:2; SigmaP:1; Wt:8; coNP:3,Kolmogorov Complexity:1; MCSP:9; Majority:5; Nisan-Wigderson:8; Parity:8; QBF/TQBF:1; SAT:46,P != NP:6
arxiv:2101.08600,2101.08600,On Separation between the Degree of a Boolean Function and the Block Sensitivity,2021,,query-complexity,ok,17,40433,,Sensitivity/Block Sensitivity:16,Sensitivity Conjecture:3
arxiv:2102.05019,2102.05019,On the Power and Limitations of Branch and Cut,2021,,proof-complexity,ok,32,108177,,Knapsack:1; Majority:1; Parity:2; Pigeonhole:1; SAT:2,P != NP:3
doi:10.46298/theoretics.23.2,2102.11854,Conditional Dichotomy of Boolean Ordered Promise CSPs,2021,,descriptive-logic; hardness-of-approximation,ok,23,68988,NP:14; P:1,CSP:37; Graph Coloring:4; Label Cover:21; Majority:4; SAT:1; Unique Games:5,Unique Games Conjecture:4
doi:10.1137/21m1435823,2103.03238,On the Complexity of Equilibrium Computation in First-Price Auctions,2021,,total-search,ok,35,221085,NP:4; PLS:2; PPAD:61; SL:4; TFNP:1,CSP:1; Nash Equilibrium:12,
arxiv:2105.07525,2105.07525,Monomial-size vs. Bit-complexity in Sums-of-Squares and Polynomial Calculus,2021,,proof-complexity,ok,12,39956,,Knapsack:10,
arxiv:2105.07531,2105.07531,First-Order Reasoning and Efficient Semi-Algebraic Proofs,2021,,proof-complexity,ok,43,122921,FP:6; NP:1,Matching:2; Parity:2; Pigeonhole:33; Subset Sum:2,
arxiv:2105.08309,2105.08309,Time and Query Optimal Quantum Algorithms Based on Decision Trees,2021,,query-complexity,ok,13,110743,AH:5; NC:2,Matching:4; Parity:1; Reachability/STCON:5,
arxiv:2106.02981,2106.02981,APMF < APSP? Gomory-Hu Tree for Unweighted Graphs in Almost-Quadratic Time,2021,,derandomization; fine-grained,ok,34,122299,,APSP:6; Hitting Set:3; Matrix Multiplication:3; Max-Flow:81,ETH:1; SETH:2
arxiv:2108.04587,2108.04587,On Learning and Testing Decision Tree,2021,,query-complexity,ok,79,123225,,,
doi:10.22331/q-2024-04-30-1318,2111.05698,Mutually unbiased bases: polynomial optimization and symmetry,2021,,proof-complexity,ok,25,155375,,,
doi:10.1137/22m1513721,2111.09079,Dequantizing the Quantum Singular Value Transformation: Hardness and Applications to Quantum Chemistry and the Quantum PCP Conjecture,2021,,quantum-complexity,ok,22,99513,BQP:17; MA:7; NP:3; PCP:27; P^QMA:5; QCMA:4; QMA:24,Local Hamiltonian:34; Quantum Circuit Sampling:6,
arxiv:2201.00913,2201.00913,Proof complexity of CSP,2022,,descriptive-logic; proof-complexity,ok,50,193107,NP:7; Wk:3,CSP:96; Matrix Multiplication:1,
doi:10.46298/theoretics.24.3,2203.14379,Constructive Separations and Their Consequences,2022,,circuit-complexity; meta-complexity; query-complexity,ok,34,132437,AC0:76; BPP:67; E:26; EXP:18; EXP^NP:20; E^NP:10; LOGSPACE:4; NC:13; NE:12; NEXP:20; NP:120; NTIME:1; P:180; PH:6; PP:16; PSPACE:28; RL:1; RP:6; SIZE:16; VNP:1; VP:1; ZPP:27; ZPP^NP:1; coNP:3,3SAT:30; Kolmogorov Complexity:4; MCSP:62; Majority:1; Parity:12; QBF/TQBF:1; SAT:29; Set Disjointness:19,P != NP:34
doi:10.4230/lipics.stacs.2023.29,2203.14614,Sublinear-Time Probabilistic Cellular Automata,2022,,derandomization,ok,23,102518,,Majority:6; Pigeonhole:1,
arxiv:2204.11469,2204.11469,Explicit Lower Bounds Against $Ω(n)$-Rounds of Sum-of-Squares,2022,,derandomization,ok,35,151120,NP:2; PCP:2,CSP:34; Error-Correcting Code:12; Graph Coloring:1; Independent Set:2; Knapsack:1; Parity:19; Unique Games:2; Vertex Expansion/SSE:8,Unique Games Conjecture:1
doi:10.4230/lipics.csl.2023.31,2206.05086,Finite Model Theory and Proof Complexity revisited: Distinguishing graphs in Choiceless Polynomial Time and the Extended Polynomial Calculus,2022,,descriptive-logic; proof-complexity,ok,26,105475,,Graph Isomorphism:12,
doi:10.4230/lipics.itcs.2023.53,2206.05243,"Quantum space, ground space traversal, and how to embed multi-prover interactive proofs into unentanglement",2022,,circuit-complexity; interactive-proofs; quantum-complexity; space-complexity,ok,79,218434,EXP:1; MA:3; MIP:17; NEXP:15; NP:19; PCP:3; PSPACE:17; QCMA:2; QCPH:2; QMA:16,CSP:6; Error-Correcting Code:1; Local Hamiltonian:18; SAT:5; Search/Grover:1,
arxiv:2207.01024,2207.01024,Algorithmic Meta-Theorems for Combinatorial Reconfiguration Revisited,2022,,descriptive-logic; parameterized,ok,26,100840,DTIME:1; E:5; EXP:1; NE:5; NEXP:1; NTIME:1; PSPACE:22; XNLP:1,Dominating Set:1; Independent Set:6; Model Checking:7; Vertex Cover:9,
doi:10.1145/3796220,2207.07426,A tight quasi-polynomial bound for Global Label Min-Cut,2022,,fine-grained,ok,18,62102,NP:4; P:2,CSP:4; Clique:1; Max-Flow:1; SAT:7,ETH:12
doi:10.46298/lmcs-19(3:6)2023,2207.09226,Capturing the polynomial hierarchy by second-order revised Krom logic,2022,,structural,ok,21,50851,NL:22; NP:12; P:2; PH:3; PSPACE:2; PiP:14; SigmaP:14,Parity:1; QBF/TQBF:6,P != NP:1
doi:10.4230/lipics.icalp.2023.32,2207.10250,Improved Hardness Results for the Guided Local Hamiltonian Problem,2022,,quantum-complexity,ok,15,71051,BQP:44; NP:1; PCP:1; QCMA:1; QMA:13,Local Hamiltonian:41,
arxiv:2208.07572,2208.07572,Fine-Grained Complexity Lower Bounds for Families of Dynamic Graphs,2022,,derandomization; fine-grained,ok,53,138179,RL:5,APSP:8; Independent Set:1; Matching:16; Max-Flow:2; Parity:1,APSP Conjecture:1
arxiv:2209.12877,2209.12877,On (Simple) Decision Tree Rank,2022,,query-complexity,ok,41,104552,,Inner Product:1; Majority:21; Parity:41; Sensitivity/Block Sensitivity:1,Log-Rank Conjecture:2
arxiv:2210.07383,2210.07383,Notes on CSPs and Polymorphisms,2022,,counting-complexity; descriptive-logic,ok,1122,1671812,AC0:2; BPP:5; BQP:4; EXP:1; L:1; NC1:1; NL:2; NP:76; P:6; PCP:1; PP:3; coNP:1,3SAT:13; CSP:238; Clique:1; Graph Coloring:1; Graph Isomorphism:1; Hamiltonian Path/Cycle:1; Majority:26; Matching:1; PIT:1; SAT:28; Subset Sum:1; Unique Games:1,P != NP:2; Unique Games Conjecture:1
arxiv:2210.12289,2210.12289,Complexity and Ramsey Largeness of Sets of Oracles Separating Complexity Classes,2022,,descriptive-logic; quantum-complexity; structural,ok,18,90744,BQP:29; BQP^E:2; EXP:7; IP:3; MA:29; NC:2; NL:1; NP:81; NP^E:2; P:16; PH:43; PH^E:1; PSPACE:31; PSPACE^E:1; P^E:1; coNP:1,Parity:9; QBF/TQBF:1; SAT:1,P != NP:11; Random Oracle / Relativization:1
doi:10.4086/toc.2024.v020a001,2211.01062,Polynomial Identity Testing via Evaluation of Rational Functions,2022,,algebraic-complexity; circuit-complexity; derandomization,ok,69,252173,BPP:3; NP:1; VBP:1,Determinant:37; Hitting Set:3; PIT:26,
arxiv:2211.03917,2211.03917,On the amortized complexity of approximate counting,2022,,counting-complexity; space-complexity,ok,13,93814,,Error-Correcting Code:4; Parity:2,
arxiv:2211.12441,2211.12441,Lower Bound Techniques in the Comparison-Query Model and Inversion Minimization on Trees,2022,,query-complexity,ok,72,216214,NP:4,Majority:1; Matching:1; Parity:9; Sorting/Selection:2; TSP:1; Unique Games:1,Unique Games Conjecture:1
doi:10.4230/lipics.stacs.2023.49,2212.04207,Gap Preserving Reductions Between Reconfiguration Problems,2022,,derandomization; hardness-of-approximation,ok,26,133676,NP:11; P:3; PCP:3; PSPACE:45; PTAS:3,CSP:28; Independent Set:22; QBF/TQBF:2; SAT:12; Set Cover:1; Subset Sum:1; Vertex Cover:11,
arxiv:2212.09285,2212.09285,Localizability of the approximation method,2022,,circuit-complexity; meta-complexity,ok,22,100289,AC0:14; E:1; EXP:1; NC1:7; NP:1; QP:2,MCSP:7; Majority:13; Parity:3; SAT:2,
arxiv:2302.00541,2302.00541,Parameterized Complexity of Weighted Team Definability,2023,,descriptive-logic; parameterized,ok,23,61105,AC0:2; E:2; FPT:24; NP:22; P:38; PP:2; TC0:3; WP:6; Wt:63; XP:2; paraNP:1,Circuit Evaluation:1; Dominating Set:1; Independent Set:4; Model Checking:3; SAT:2,
arxiv:2302.05707,2302.05707,On Differential Privacy and Adaptive Data Analysis with Bounded Space,2023,,space-complexity,ok,40,165601,E:4; NC:1,Majority:4; Parity:3,One-Way Functions Exist:2
arxiv:2302.06607,2302.06607,Generative Adversarial Equilibrium Solvers,2023,,total-search,ok,10,145024,NE:2; PPAD:2,Majority:2; Nash Equilibrium:6,
arxiv:2302.08083,2302.08083,The Computational Complexity of Quantum Determinants,2023,,counting-complexity; structural,ok,64,113541,BPP:7; BPP^NP:1; GapP:1; ModkP:4; NP:5; P:43; PH:7; PP:1; sharpP:14,Determinant:11; Majority:1; Matching:1; Parity:1; Permanent:108; Quantum Circuit Sampling:3,PH does not collapse:5
doi:10.4230/lipics.itcs.2024.1,2302.10332,"A Qubit, a Coin, and an Advice String Walk Into a Relational Problem",2023,,circuit-complexity; interactive-proofs; meta-complexity; quantum-complexity,ok,19,87196,BPP:13; BQP:24; EXP:3; FBPP:118; FP:52; FP^PH:1; IP:7; NP:14; P:4; PH:5; PP:3; PSPACE:17; SampBPP:12; SampBQP:17; coNP:1,Equality:1; Kolmogorov Complexity:16; Matching:1; Permanent:3; QBF/TQBF:7; Quantum Circuit Sampling:4; Range Avoidance:1,Cryptographic Assumptions:2; P != NP:2; Random Oracle / Relativization:3
doi:10.1109/focs57990.2023.00028,2302.14066,Query-optimal estimation of unitary channels in diamond distance,2023,,query-complexity; space-complexity,ok,30,159349,E:66; L:2; Wk:5,Pigeonhole:2,
doi:10.1007/s00037-025-00273-8,2303.01952,Quantum state testing beyond the polarizing regime and quantum triangular discrimination,2023,,interactive-proofs,ok,50,144975,AM:1; BQP:8; NP:6; PP:26; QAM:1; QIP:8; QMA:5; QSZK:185; SZK:23; coAM:1,,
arxiv:2303.04555,2303.04555,Streaming Kernel PCA Algorithm With Small Space,2023,,space-complexity,ok,28,80788,,Independent Set:2; Max-Cut:1; Vertex Cover:1,
arxiv:2303.16287,2303.16287,Lower Bounds for Pseudo-Deterministic Counting in a Stream,2023,,counting-complexity; space-complexity,ok,13,18322,,,
arxiv:2303.16705,2303.16705,Planar 3-way Edge Perfect Matching Leads to A Holant Dichotomy,2023,,counting-complexity,ok,27,187398,FP:56; NP:6; sharpP:81,CSP:3; Equality:1; Matching:3; Partition Function:112; SAT:5,Cryptographic Assumptions:1
doi:10.1109/focs57990.2023.00091,2304.01438,Tight Space Lower Bound for Pseudo-Deterministic Approximate Counting,2023,,counting-complexity,ok,20,60838,BPP:1; RP:1,Permanent:1,
arxiv:2304.06853,2304.06853,Pseudorandom Hashing for Space-bounded Computation with Applications in Streaming,2023,,derandomization; space-complexity,ok,38,207257,,Index:2; Set Disjointness:30,
arxiv:2305.02154,2305.02154,Random Schreier graphs as expanders,2023,,derandomization,ok,13,102062,,Determinant:1; Matrix Multiplication:1; Parity:3,
arxiv:2305.09538,2305.09538,A LOCAL View of the Polynomial Hierarchy,2023,,descriptive-logic; structural,ok,40,463403,PiP:4; SigmaP:4,Hamiltonian Path/Cycle:22; Independent Set:3; Pigeonhole:2; SAT:7,PH does not collapse:4
arxiv:2305.15297,2305.15297,Strong blocking sets and minimal codes from expander graphs,2023,,derandomization,ok,31,66934,,Error-Correcting Code:16,
arxiv:2305.19320,2305.19320,On the algebraic proof complexity of Tensor Isomorphism,2023,,proof-complexity,ok,40,132436,AM:1; NC:2; NC2:1; P:1; SC:3,Determinant:4; Error-Correcting Code:1; Graph Isomorphism:12; Group Isomorphism:2; Matrix Multiplication:2; Parity:2; Pigeonhole:14,
arxiv:2306.00125,2306.00125,Graph Colouring is Hard for Algorithms Based on Hilbert's Nullstellensatz and Gröbner Bases,2023,,proof-complexity,ok,18,179315,MA:1; NP:1,CSP:3; Graph Coloring:19; Pigeonhole:19; SAT:1,
doi:10.4230/lipics.itcs.2024.24,2306.04843,Classical Verification of Quantum Learning,2023,,interactive-proofs,ok,64,339183,BPP:1; BQP:1; QCMA:1; QMA:1,Learning Parity with Noise:14; Parity:37,
arxiv:2307.03446,2307.03446,A Topological Version of Schaefer's Dichotomy Theorem,2023,,counting-complexity,ok,35,58212,NP:29; P:9; PSPACE:1,3SAT:17; CSP:45; Graph Isomorphism:1; SAT:155; TSP:4,P != NP:6
arxiv:2307.16078,2307.16078,Restricted Holant Dichotomy on Domains 3 and 4,2023,,counting-complexity,ok,13,58600,FP:1; sharpP:14,CSP:2; Partition Function:94,
arxiv:2308.09549,2308.09549,"Probabilistic Computers (and Hence Quantum Computers) Are Rigorously More Powerful Than Classical Deterministic Computers, and Derandomization",2023,,derandomization; quantum-complexity,ok,43,103177,BPP:60; BPTIME:4; BQP:16; DTIME:5; E:1; EXP:2; NC:3; NP:10; PP:2; PSPACE:3; RP:16; ZPP:10; coNP:1; coRP:9,Hitting Set:6; Search/Grover:1,P != NP:2; Random Oracle / Relativization:1
doi:10.1145/3778166,2309.12912,Symmetric Exponential Time Requires Near-Maximum Circuit Size,2026,,circuit-complexity; structural,ok,36,153206,BPP:16; E:5; EXP:5; MAEXP:2; NPSV:1; P:1; PCP:1; S2E:6; S2P:2; SC:3; SIZE:4; Wt:2; ZPE:1; ZPP:6,Error-Correcting Code:3; Hitting Set:1; Kolmogorov Complexity:1; MCSP:5; Majority:3; PIT:1; Pigeonhole:3; Range Avoidance:32; Rigid Matrix:3; SAT:1,Random Oracle / Relativization:3
doi:10.46298/dmtcs.15917,2309.15026,Instance complexity of Boolean functions,2023,,query-complexity,ok,19,46318,,Index:2; Majority:7; Parity:7,
arxiv:2309.15654,2309.15654,The Complexity of Resilience Problems via Valued Constraint Satisfaction,2023,,descriptive-logic,ok,87,224849,BPP:3; FPT:2; NC:3; NP:53,CSP:34; Hitting Set:1; Majority:1; Max-Cut:4; Max-Flow:1,P != NP:10
doi:10.1145/3618260.3649690,2309.16475,Circuit-to-Hamiltonian from tensor networks and fault tolerance,2023,,circuit-complexity; quantum-complexity,ok,45,199269,BQP:19; NEXP:1; NP:2; P:11; PCP:19; QIP:3; QMA:95; sharpP:15,CSP:6; Error-Correcting Code:1; Local Hamiltonian:32; Majority:11; Parity:2; Partition Function:1; Quantum Circuit Sampling:1; Search/Grover:4,
arxiv:2310.00514,2310.00514,"The CSP Dichotomy, the Axiom of Choice, and Cyclic Polymorphisms",2023,,counting-complexity; descriptive-logic,ok,33,87176,NP:12; P:8,CSP:23; Majority:1; SAT:1,P != NP:2
arxiv:2310.12913,2310.12913,Deterministic 3SUM-Hardness,2023,,derandomization; fine-grained,ok,31,118376,,3SUM:184; Majority:1; Matrix Multiplication:2; Set Disjointness:26; Subset Sum:1,3SUM Conjecture:13
doi:10.1137/1.9781611977912.54,2310.14160,Gap Amplification for Reconfiguration Problems,2023,,derandomization; hardness-of-approximation,ok,34,139961,NP:36; P:3; PCP:9; PSPACE:38; PTAS:1,3SAT:3; CSP:87; Dominating Set:11; Error-Correcting Code:1; Independent Set:4; Label Cover:4; SAT:3; Set Cover:43; Subset Sum:1; Vertex Cover:1; Vertex Expansion/SSE:1,
arxiv:2310.17762,2310.17762,"Symmetric Exponential Time Requires Near-Maximum Circuit Size: Simplified, Truly Uniform",2023,,circuit-complexity; derandomization,ok,30,45591,AC0:2; Delta3E:2; E:3; FNP:1; FP^NP:2; FS2P:17; FZPP:1; FZPP^NP:5; NP:11; NPSV:1; P:1; Pi2E:3; Pi3E:1; S2E:11; S2P:4; SIZE:16; Sigma2E:6; Sigma2P:10; Sigma3E:1; ZPE^NP:5; ZPP^NP:2; prBPP:1; prP:1,Error-Correcting Code:3; Kolmogorov Complexity:1; Range Avoidance:6; Rigid Matrix:3,P != NP:1
arxiv:2311.00558,2311.00558,An Exponential Lower Bound for Linear 3-Query Locally Correctable Codes,2023,,proof-complexity,ok,38,175846,IP:1; PSPACE:1; Wt:2,CSP:3; Error-Correcting Code:29; Group Isomorphism:1; Rigid Matrix:1,
doi:10.1145/3618260.3649665,2311.06999,Quantum and classical query complexities of functions of matrices,2023,,quantum-complexity; query-complexity,ok,57,145345,BQP:20; DQC1:1,Forrelation:13; Parity:12; Search/Grover:1; Simon/Bernstein-Vazirani:1,
doi:10.1145/3771726,2311.10634,Counting Answers to Unions of Conjunctive Queries: Natural Tractability Criteria and Meta-Complexity,2023,,meta-complexity; parameterized,ok,59,139811,FPT:4; NP:19; P:1; sharpP:1,CSP:1; Clique:1; Graph Isomorphism:1; SAT:3,ETH:20
arxiv:2311.11663,2311.11663,"On Hardness Assumptions Needed for ""Extreme High-End'' PRGs and Fast Derandomization",2023,,derandomization,ok,56,143348,BPP:4; BPTIME:1; DTIME:1; MA:2; NP:1; UP:1,Kolmogorov Complexity:1; Majority:1; Nisan-Wigderson:13,One-Way Functions Exist:1
doi:10.4230/lipics.itcs.2024.43,2311.17019,Homogeneous Algebraic Complexity Theory and Algebraic Formulas,2023,,algebraic-complexity,ok,18,108550,NP:3; P:2; VBP:17; VF:35; VNP:28; VP:13; VQP:17,Determinant:3; Matrix Multiplication:4; Parity:14; Permanent:7,P != NP:2; Permanent vs Determinant:4
arxiv:2312.07658,2312.07658,The hardness of quantum spin dynamics,2023,,counting-complexity; quantum-complexity; structural,ok,26,136991,BPP:3; FBPP:15; FBPP^NP:6; FP:10; IQP:8; NP:3; PH:12; QMA:2; sharpP:42,Partition Function:5; Permanent:45; Quantum Circuit Sampling:3,P != NP:1; PH does not collapse:2
arxiv:2312.14023,2312.14023,Leakage-Resilient Hardness Equivalence to Logspace Derandomization,2023,,derandomization; space-complexity,ok,18,62998,BPL:1; BPP:1; E:1; NEXP:1; P:5; prBPP:8; prP:6,Nisan-Wigderson:6; PIT:1; Parity:1,
doi:10.4230/lipics.ccc.2024.6,2401.01453,The Entangled Quantum Polynomial Hierarchy Collapses,2024,,quantum-complexity; structural,ok,25,91180,AM:1; BPP:1; BQP:4; CH:4; EXP:2; EXPH:4; EXP^PP:6; IP:1; MA^MA:1; NEXP:3; NP:13; NP^NP^NP:1; NP^SigmaP:1; P:8; PH:71; PP:3; PPP:3; PP^PP:1; PSPACE:20; PiP:5; QCMA:9; QCMA^QCMA^QCMA:1; QCPH:73; QIP:3; QMA:26; QMA^QMA^QMA:1; S2P:2; SigmaP:16; TFNP:1; coNP:3,QBF/TQBF:1; SAT:1,P != NP:4; PH does not collapse:2
doi:10.4230/lipics.mfcs.2024.7,2401.01633,"Quantum Polynomial Hierarchies: Karp-Lipton, error reduction, and lower bounds",2024,,circuit-complexity; quantum-complexity; structural,ok,41,105095,BPP:2; BQP:18; EXP:3; NEXP:3; NP:2; P:1; PH:16; PSPACE:1; Pi2P:1; PiP:1; QCMA:2; QCPH:7; QMA:1; Sigma2P:3; SigmaP:2; ZPP:4,Matrix Multiplication:1; SAT:4; Simon/Bernstein-Vazirani:1,Random Oracle / Relativization:1
doi:10.4230/lipics.itcs.2025.63,2401.06725,Complexity Classification of Product State Problems for Local Hamiltonians,2024,,quantum-complexity,ok,28,129038,NP:67; P:18; QMA:14,CSP:6; Local Hamiltonian:12; MAX-SAT:3; Max-Cut:49; Pigeonhole:1; SAT:1; Unique Games:1,Unique Games Conjecture:1
arxiv:2401.12604,2401.12604,On Pigeonhole Principles and Ramsey in TFNP,2024,,proof-complexity; total-search,ok,68,140580,PLS:2; PPA:2; PPP:5,Error-Correcting Code:2; Independent Set:19; Parity:1; Pigeonhole:21; Ramsey Graph:1; Sunflower:1,P != NP:1; Random Oracle / Relativization:1
arxiv:2402.00791,2402.00791,Hausdorff Reductions and the Exponential Hierarchies,2024,,structural,ok,67,629480,ATIME:3; BH:5; DSPACE:9; DTIME:16; DeltaP:10; E:67; NE:5; NP:211; NSPACE:2; NTIME:18; P:263; PH:29; PiP:10; SigmaP:422; XP:14,Clique:1; Index:2; MAX-SAT:6; Majority:1; Parity:10; QBF/TQBF:2; SAT:1; Search/Grover:2,P != NP:3
arxiv:2402.04971,2402.04971,Multi-Sender Persuasion: A Computational Perspective,2024,,total-search,ok,20,119340,NE:17; NP:25; PPAD:15,Nash Equilibrium:14,
arxiv:2402.06093,2402.06093,Formal Verification of the Sumcheck Protocol,2024,,interactive-proofs,ok,6,122272,IP:3; NP:1; P:30; PPAD:1; PSPACE:2; coNP:1,,ETH:2
arxiv:2402.07061,2402.07061,The $k$-Opt algorithm for the Traveling Salesman Problem has exponential running time for $k \ge 5$,2024,,total-search,ok,30,105295,NP:2; PLS:47,Hamiltonian Path/Cycle:2; Local Search:5; Max-Cut:31; Parity:67; SAT:1; Set Cover:1; TSP:48,
arxiv:2403.03933,2403.03933,Polynomial Calculus sizes over the Boolean and Fourier bases are incomparable,2024,,proof-complexity,ok,31,38415,,,
arxiv:2403.06704,2403.06704,Proof complexity of universal algebra in a CSP dichotomy proof,2024,,proof-complexity,ok,115,314942,E:1; NP:6; PSPACE:1; Wk:2,CSP:128,
arxiv:2404.00926,2404.00926,Two prover perfect zero knowledge for MIP*,2024,,interactive-proofs,ok,44,168217,AM:7; IP:1; MIP:18; MIPstar:110; NEXP:3; NP:2; PCP:1; PSPACE:1; PZK:19; Wk:2,3SAT:20; Error-Correcting Code:1; Graph Coloring:3; SAT:13,
arxiv:2404.03979,2404.03979,Stability in Graphs with Matroid Constraints,2024,,parameterized,ok,12,68757,FPT:20; NP:20; coNP:2,Independent Set:7; Majority:1; Matching:4; Matrix Multiplication:1,
